longitude	frequency power [Hz]	spectral density [dB/Hz]	doppler
 016	1420645750.0	3.29776	999467953.8783525
 016	1420529750.0	3.3643	999386344.3125857
 016	1420609750.0	3.3107699999999998	999442626.7717352
 016	1420613750.0	3.3026800000000005	999445440.8946927
 016	1420617750.0	3.3101300000000005	999448255.0176501
 016	1420621750.0	3.31492	999451069.1406076
 016	1420625750.0	3.29598	999453883.2635651
 016	1420629750.0	3.3054300000000003	999456697.3865225
 016	1420633750.0	3.2926800000000003	999459511.50948
 016	1420637750.0	3.3050900000000003	999462325.6324376
 016	1420641750.0	3.30537	999465139.755395
 016	1420469750.0	3.4372599999999998	999344132.4682236
 016	1420569750.0	3.32062	999414485.5421605
 016	1420561750.0	3.32053	999408857.2962456
 016	1420593750.0	3.2976699999999997	999431370.2799053
 016	1420585750.0	3.30073	999425742.0339904
 016	1420557750.0	3.3179	999406043.173288
 016	1420481750.0	3.44135	999352574.837096
 016	1420425750.0	3.4323599999999996	999313177.1156914
 016	1420429750.0	3.4533	999315991.2386489
 016	1420433750.0	3.4446	999318805.3616064
 016	1420437750.0	3.4466699999999997	999321619.4845638
 016	1420441750.0	3.4479800000000003	999324433.6075213
 016	1420445750.0	3.4443699999999997	999327247.7304788
 016	1420449750.0	3.4311199999999995	999330061.8534362
 016	1420453750.0	3.4606800000000004	999332875.9763937
 016	1420457750.0	3.4367400000000004	999335690.0993512
 016	1420461750.0	3.44504	999338504.2223086
 016	1420581750.0	3.30024	999422927.9110329
 016	1420577750.0	3.3132800000000002	999420113.7880754
 016	1420465750.0	3.45234	999341318.3452661
 016	1420537750.0	3.3561099999999997	999391972.5585006
 016	1420565750.0	3.3217199999999996	999411671.419203
 016	1420485750.0	3.4363099999999998	999355388.9600534
 016	1420489750.0	3.43045	999358203.083011
 016	1420493750.0	3.42285	999361017.2059685
 016	1420497750.0	3.42749	999363831.328926
 016	1420501750.0	3.41983	999366645.4518834
 016	1420505750.0	3.42295	999369459.5748409
 016	1420509750.0	3.4074800000000005	999372273.6977984
 016	1420513750.0	3.38533	999375087.8207558
 016	1420517750.0	3.38469	999377901.9437133
 016	1420573750.0	3.3239900000000002	999417299.665118
 016	1420413750.0	3.43658	999304734.746819
 016	1420553750.0	3.3399400000000004	999403229.0503305
 016	1420549750.0	3.33664	999400414.927373
 016	1420545750.0	3.32815	999397600.8044156
 016	1420773750.0	3.3344	999558005.8129916
 016	1420857750.0	3.3292300000000004	999617102.3950986
 016	1420821750.0	3.30214	999591775.2884814
 016	1420805750.0	3.3532	999580518.7966515
 016	1420801750.0	3.3466199999999997	999577704.673694
 016	1420809750.0	3.3242300000000005	999583332.919609
 016	1420833750.0	3.3309699999999998	999600217.6573538
 016	1420789750.0	3.32971	999569262.3048216
 016	1420885750.0	3.33714	999636801.255801
 016	1420669750.0	3.30376	999484838.6160973
 016	1420889750.0	3.33101	999639615.3787584
 016	1420893750.0	3.31852	999642429.5017159
 016	1420597750.0	3.2940300000000002	999434184.4028628
 016	1420797750.0	3.3250900000000003	999574890.5507365
 016	1420661750.0	3.29296	999479210.3701824
 016	1420785750.0	3.33766	999566448.181864
 016	1420873750.0	3.31998	999628358.8869286
 016	1420877750.0	3.3148699999999995	999631173.009886
 016	1420881750.0	3.33619	999633987.1328435
 016	1420813750.0	3.3186699999999996	999586147.0425664
 016	1420829750.0	3.3235699999999997	999597403.5343963
 016	1420825750.0	3.3146	999594589.4114388
 016	1420837750.0	3.3267599999999997	999603031.7803112
 016	1420781750.0	3.31895	999563634.0589066
 016	1420777750.0	3.3205	999560819.9359491
 016	1420853750.0	3.33299	999614288.2721411
 016	1420849750.0	3.32795	999611474.1491836
 016	1420861750.0	3.3405699999999996	999619916.518056
 016	1420865750.0	3.34635	999622730.6410136
 016	1420869750.0	3.3377	999625544.7639711
 016	1420841750.0	3.3301	999605845.9032687
 016	1420793750.0	3.32119	999572076.4277791
 016	1420749750.0	3.32274	999541121.0752468
 016	1420673750.0	3.2839	999487652.7390548
 016	1420677750.0	3.29947	999490466.8620123
 016	1420681750.0	3.28361	999493280.9849697
 016	1420685750.0	3.3072699999999995	999496095.1079272
 016	1420689750.0	3.29615	999498909.2308847
 016	1420693750.0	3.30065	999501723.3538421
 016	1420697750.0	3.31334	999504537.4767996
 016	1420701750.0	3.3025800000000003	999507351.5997571
 016	1420705750.0	3.30115	999510165.7227145
 016	1420709750.0	3.3066800000000005	999512979.845672
 016	1420901750.0	3.32585	999648057.7476308
 016	1420713750.0	3.31115	999515793.9686296
 016	1420845750.0	3.3257800000000004	999608660.0262262
 016	1420817750.0	3.31938	999588961.1655239
 016	1420721750.0	3.3223599999999998	999521422.2145445
 016	1420717750.0	3.3114800000000004	999518608.0915871
 016	1420665750.0	3.29584	999482024.4931399
 016	1421397750.0	3.20982	999997008.9943577
 016	1420737750.0	3.30648	999532678.7063744
 016	1420741750.0	3.31356	999535492.8293319
 016	1420745750.0	3.31085	999538306.9522893
 016	1420757750.0	3.32114	999546749.3211617
 016	1420729750.0	3.3190699999999995	999527050.4604595
 016	1420725750.0	3.3292599999999997	999524236.337502
 016	1420761750.0	3.33077	999549563.4441192
 016	1420765750.0	3.30749	999552377.5670767
 016	1420769750.0	3.3136	999555191.6900342
 016	1420733750.0	3.31386	999529864.5834169
 024	1420065750.0	2.50062	999059906.0495187
 024	1420133750.0	2.5878900000000002	999107746.1397958
 024	1420053750.0	2.49284	999051463.6806463
 024	1420121750.0	2.5977200000000003	999099303.7709234
 024	1420069750.0	2.51622	999062720.1724762
 024	1420045750.0	2.50972	999045835.4347314
 024	1420049750.0	2.4995700000000003	999048649.5576888
 024	1419965750.0	2.44203	998989552.9755819
 024	1420409750.0	2.47432	999301920.6238614
 024	1420657750.0	2.40315	999476396.2472249
 024	1420141750.0	2.62518	999113374.3857107
 024	1420041750.0	2.4976	999043021.3117739
 024	1420033750.0	2.49342	999037393.0658588
 024	1420117750.0	2.57938	999096489.6479659
 024	1420109750.0	2.56332	999090861.4020509
 024	1420125750.0	2.60296	999102117.8938808
 024	1420137750.0	2.61738	999110560.2627532
 024	1420089750.0	2.54375	999076790.7872635
 024	1420113750.0	2.5722400000000003	999093675.5250084
 024	1419913750.0	2.4470099999999997	998952969.3771347
 024	1419717750.0	2.15092	998815077.3522184
 024	1420129750.0	2.5879	999104932.0168383
 024	1419917750.0	2.44097	998955783.5000921
 024	1420097750.0	2.53559	999082419.0331784
 024	1420161750.0	2.6511	999127445.000498
 024	1420205750.0	2.63056	999158400.3530303
 024	1420281750.0	2.79541	999211868.6892223
 024	1420105750.0	2.56554	999088047.2790934
 024	1420101750.0	2.55061	999085233.1561359
 024	1421385750.0	2.3947599999999998	999988566.6254852
 024	1419797750.0	2.22245	998871359.8113679
 024	1419933750.0	2.44733	998967039.991922
 024	1419937750.0	2.43105	998969854.1148795
 024	1419941750.0	2.43667	998972668.237837
 024	1419945750.0	2.40762	998975482.3607944
 024	1419949750.0	2.4372599999999998	998978296.4837519
 024	1419953750.0	2.4476299999999998	998981110.6067094
 024	1419957750.0	2.44808	998983924.7296668
 024	1419961750.0	2.45319	998986738.8526244
 024	1420029750.0	2.47649	999034578.9429014
 024	1420285750.0	2.81292	999214682.8121798
 024	1419921750.0	2.43858	998958597.6230496
 024	1420213750.0	2.6371700000000002	999164028.5989453
 024	1419985750.0	2.4491099999999997	999003623.5903692
 024	1420085750.0	2.5217400000000003	999073976.664306
 024	1420093750.0	2.54362	999079604.910221
 024	1419993750.0	2.46719	999009251.8362842
 024	1419997750.0	2.47315	999012065.9592416
 024	1420001750.0	2.47432	999014880.0821991
 024	1420005750.0	2.48933	999017694.2051566
 024	1420009750.0	2.47111	999020508.328114
 024	1420013750.0	2.48075	999023322.4510715
 024	1420017750.0	2.4666099999999997	999026136.574029
 024	1420021750.0	2.45496	999028950.6969864
 024	1419969750.0	2.43796	998992367.0985394
 024	1420149750.0	2.56481	999119002.6316257
 024	1419981750.0	2.4550799999999997	999000809.4674118
 024	1420389750.0	2.48939	999287850.0090741
 024	1419925750.0	2.44139	998961411.7460071
 024	1419989750.0	2.47107	999006437.7133267
 024	1419909750.0	2.43624	998950155.2541772
 024	1420209750.0	2.64723	999161214.4759878
 024	1420153750.0	2.4717	999121816.7545831
 024	1420297750.0	2.8447	999223125.1810522
 024	1420301750.0	2.86186	999225939.3040097
 024	1420305750.0	2.85238	999228753.4269671
 024	1420309750.0	2.87213	999231567.5499246
 024	1420313750.0	2.87609	999234381.6728821
 024	1420317750.0	2.88374	999237195.7958395
 024	1420321750.0	2.9003900000000002	999240009.918797
 024	1420325750.0	2.92351	999242824.0417545
 024	1420329750.0	2.96362	999245638.164712
 024	1420333750.0	2.97174	999248452.2876694
 024	1420337750.0	2.97289	999251266.410627
 024	1420341750.0	2.9541	999254080.5335845
 024	1420345750.0	2.9163	999256894.656542
 024	1420349750.0	2.86394	999259708.7794994
